"will, vil",ויל
aba,אבא
abir,אביר
achava,אחוה
achi,אחי
achiad,אחיעד
achiam,אחיעם
achiav,אחיאב
achiel,אחיאל
achiezer,אחיעזר
achihud,אחיהוד
achikam,אחיקם
achimeir,אחימאיר
achinadav,אחינדב
achinoam,אחינועם
achishay,אחישי
achitov,אחיטוב
achiya,אחיה
achlama,אחלמה
ad,עד
ada,אדה
adam,אדם
adama,אדמה
adamit,אדמית
adar,אדר
adara,אדרה
adaya,עדיה
adel,עדאל
adela,אדלה
adele,אדל
adeline,אדלין
aderet,אדרת
adi,עדי
adiel,עדיאל
adiela,עדיאלה
adin,עדין
adina,עדינה
adino,עדינו
adir,אדיר
adira,אדירה
adiv,אדיב
adiva,אדיבה
adli,עדלי
adoram,אדורם
adore,אדור
adrian,אדריאן
adriana,אדריאנה
adva,אדוה
afek,אפק
afeka,אפקה
afik,אפיק
agam,אגם
agamit,אגמית
agas,אגס
agat,אגת
agnes,אגנס
agur,עגור
ahala,אהלה
ahaliav,אהליאב
ahaliba,אהליבה
aharon\aaron,אהרון
aharona,אהרונה
ahav,אהב
ahava,אהבה
ahavatel,אהבתאל
ahavit,אהבית
ahavniel,אהבניאל
ahavtia,אהבתיה
ahuda,אהודה
ahuv,אהוב
ahuva,אהובה
ahuvi,אהובי
ahuvia,אהוביה
ahuviel,אהוביאל
ahuvit,אהובית
aimee,איימי
akiva,עקיבא
albert,אלברט
aldo,אלדו
alevtina,אלבטינה
alex,אלכס
alexander,אלכסנדר
alexandra,אלכסנדרה
alexei,אלכסי
alfons,אלפונס
alfonso,אלפונסו
alfred,אלפרד
alfredo,אלפדו
alice,אליס
alina,אלינה
aline,אלין
aliz,עליז
aliza,עליזה
allegra,אלגרה
allegria,אלגריה
allen,אלן
allison,אליסון
alma,אלמה
almar,אלמר
almog,אלמוג
almoga,אלמוגה
almogit,אלמוגית
alon,אלון
alona,אלונה
aloni,אלוני
alonit,אלונית
alter,אלטר
aluma,אלומה
alva,עלוה
alvit,עלוית
amal,עמל
amalia,אמליה
amanda,אמנדה
amarel,אמראל
amatzya,אמציה
amber,אמבר
ami,עמי
amiad,עמיעד
amichai,עמיחי
amiel,עמיאל
amihud,עמיהוד
amikam,עמיקם
aminadav,עמינדב
amioz,עמיעז
amir,אמיר
amira,אמירה
amiram,אמירם
amiran,אמירן
amirel,אמיראל
amiri,אמירי
amirit,אמירית
amit,עמית
amital,עמיטל
amittai,אמיתי
amitz,אמיץ
amitzur,עמיצור
amnon,אמנון
amor,אמור
amos,עמוס
amotz,אמוץ
amram,עמרם
amya,עמיה
anael,ענאל
anafa,אנפה
anastasia,אנסטסיה
anat,ענת
anati,ענתי
anatol,אנטול
